Number of edges (incl. self-loops): 328920
E020 | loss 0.970582 | acc tr/va/te 0.735714/0.406000/0.394000
E040 | loss 0.796883 | acc tr/va/te 0.742857/0.426000/0.451000
E060 | loss 0.688946 | acc tr/va/te 0.778571/0.436000/0.469000
E080 | loss 0.623907 | acc tr/va/te 0.807143/0.428000/0.463000
E100 | loss 0.588136 | acc tr/va/te 0.821429/0.434000/0.473000
E120 | loss 0.562164 | acc tr/va/te 0.828571/0.428000/0.460000
E140 | loss 0.545225 | acc tr/va/te 0.835714/0.426000/0.467000
E160 | loss 0.531364 | acc tr/va/te 0.857143/0.428000/0.466000
E180 | loss 0.521541 | acc tr/va/te 0.857143/0.432000/0.470000
E200 | loss 0.511454 | acc tr/va/te 0.835714/0.440000/0.450000
