Number of edges (incl. self-loops): 361458
E020 | loss 0.795268 | acc tr/va/te 0.778571/0.614000/0.652000
E040 | loss 0.430480 | acc tr/va/te 0.885714/0.618000/0.658000
E060 | loss 0.311847 | acc tr/va/te 0.942857/0.618000/0.647000
E080 | loss 0.249785 | acc tr/va/te 0.971429/0.606000/0.648000
E100 | loss 0.209610 | acc tr/va/te 0.978571/0.608000/0.644000
E120 | loss 0.183515 | acc tr/va/te 0.985714/0.610000/0.643000
E140 | loss 0.166671 | acc tr/va/te 0.992857/0.608000/0.640000
E160 | loss 0.150590 | acc tr/va/te 0.992857/0.608000/0.645000
E180 | loss 0.140003 | acc tr/va/te 0.992857/0.608000/0.648000
E200 | loss 0.131736 | acc tr/va/te 1.000000/0.602000/0.643000
